,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Viktor Arvidsson,LA,LW,11,2,3,5,-1,6,44,0,1,0,0,0,2,5
Ryan Donato,SEA,C,16,2,4,6,-3,19,33,0,0,0,0,0,16,3
Frederick Gaudreau,MIN,C,18,2,5,7,1,2,26,0,0,1,0,0,10,12
Warren Foegele,EDM,LW,18,2,5,7,-7,2,23,0,1,0,0,0,34,5
Tomas Nosek,BOS,LW,15,2,2,4,1,4,12,1,0,0,0,1,23,10
Chris Wideman,MON,D,15,2,6,8,1,22,21,0,0,2,0,0,14,9
Brandon Montour,FLA,D,18,2,7,9,4,16,35,0,1,3,0,0,10,15
Haydn Fleury,SEA,D,9,2,0,2,-2,2,13,1,0,0,0,0,17,14
Shayne Gostisbehere,ARI,D,19,2,12,14,0,6,39,0,0,5,0,0,3,22
Justin Dowling,VAN,C,9,2,0,2,-3,0,10,0,0,0,0,0,4,4
Ryan Dzingel,ARI,C,9,2,2,4,1,29,11,0,0,0,0,0,4,2
William Carrier,VGK,LW,11,2,2,4,2,8,15,0,0,0,0,0,21,3
Michael Raffl,DAL,LW,17,2,4,6,0,4,24,0,0,0,0,2,31,7
Colin Miller,BUF,D,18,2,9,11,0,10,28,0,0,2,0,0,28,22
Connor Brown,OTT,RW,12,2,6,8,-9,2,17,0,0,3,0,0,3,7
Vinnie Hinostroza,BUF,RW,18,2,6,8,-2,8,27,0,0,0,0,0,6,2
Kyle Capobianco,ARI,D,5,2,2,4,1,0,6,1,1,1,0,0,3,4
Nick Jensen,WAS,D,19,2,4,6,15,2,30,0,0,0,0,0,34,29
Drake Caggiula,BUF,LW,18,2,3,5,-4,4,23,1,0,1,0,0,17,7
